Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Thresholds""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:54,2019-07-19 13:04:54,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:54,2019-07-19 13:04:56,1.794s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/Node Threshold Settings""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:56,2019-07-19 13:04:56,0.028s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:56,2019-07-19 13:04:56,0.502s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_600 W""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:56,2019-07-19 13:04:56,0.022s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:56,2019-07-19 13:04:57,0.480s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""550"")",Chrome 75.0.3770.142,,,2019-07-19 13:04:57,2019-07-19 13:04:57,0.340s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:57,2019-07-19 13:04:57,0.007s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:57,2019-07-19 13:04:58,0.464s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_600 W""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:58,2019-07-19 13:04:58,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:58,2019-07-19 13:04:58,0.520s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""600"")",Chrome 75.0.3770.142,,,2019-07-19 13:04:58,2019-07-19 13:04:58,0.221s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:58,2019-07-19 13:04:58,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:58,2019-07-19 13:04:59,0.445s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_80 C0""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:59,2019-07-19 13:04:59,0.113s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:59,2019-07-19 13:04:59,0.351s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""30"")",Chrome 75.0.3770.142,,,2019-07-19 13:04:59,2019-07-19 13:04:59,0.187s,PASSED
